Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,23100,23800,24800,25400,26200,27200,28000.0,29100.0,29400.0,28600.0,30200.0,30700.0,31400.0,31700.0,32400.0,33100.0,33600.0,34500.0,35600.0,36900.0,35800.0,38700,42700,44900
Bulgaria,5300,5800,6400,6900,7500,8300,9000.0,10000.0,10900.0,10500.0,11100.0,11700.0,12100.0,12200.0,12900.0,13600.0,14400.0,15300.0,16300.0,17400.0,17500.0,19800,22500,24300
Czechia,13500,14600,15000,16100,17100,18100,19000.0,20700.0,21600.0,20800.0,21200.0,21800.0,21800.0,22400.0,23500.0,24600.0,25400.0,27200.0,28500.0,30000.0,29200.0,30500,32200,34500
Denmark,23800,24400,25100,25400,27000,28000,29700.0,30900.0,32200.0,30600.0,32600.0,33100.0,33100.0,33800.0,34300.0,35200.0,36000.0,38000.0,38800.0,39400.0,40100.0,44500,48500,47800
Germany,23000,24000,24500,25200,26300,26800,28000.0,29600.0,30300.0,28900.0,30600.0,32300.0,32700.0,33100.0,34400.0,34900.0,35800.0,37200.0,38200.0,38500.0,37500.0,39900,42400,44200
Estonia,7800,8500,9500,10800,11800,13600,15300.0,17500.0,17700.0,15500.0,16300.0,18300.0,19300.0,20100.0,21100.0,21400.0,22200.0,23700.0,25200.0,26400.0,26000.0,28200,30300,30500
Ireland,25100,27000,28900,29800,31700,33100,35200.0,36900.0,34200.0,31300.0,32700.0,33900.0,34500.0,35300.0,37800.0,51500.0,50800.0,55300.0,58600.0,60000.0,62500.0,74800,85500,81200
Greece,15600,16800,18000,19100,20300,20500,22300.0,22800.0,23600.0,22600.0,21100.0,19100.0,18200.0,18600.0,19000.0,19100.0,19100.0,19700.0,20200.0,20800.0,18900.0,21200,24100,26400
Spain,17900,19000,20000,20600,21400,22600,24500.0,25700.0,25900.0,24300.0,24100.0,23900.0,23500.0,23600.0,24200.0,25400.0,26100.0,27400.0,27900.0,28700.0,25100.0,28300,31600,34500
France,21700,22700,23300,23100,23700,25000,25900.0,27000.0,27300.0,26300.0,27300.0,28100.0,27900.0,28700.0,29000.0,29500.0,29900.0,30600.0,31500.0,33200.0,31600.0,33500,35200,37800
Croatia,8900,9600,10500,11200,12000,12700,14000.0,15400.0,16300.0,15400.0,15200.0,15800.0,15900.0,16100.0,16100.0,16900.0,17600.0,18700.0,19700.0,21300.0,20000.0,23300,25900,29000
Italy,22600,23300,23600,24000,24200,24700,25800.0,26900.0,27500.0,26000.0,26500.0,27100.0,26800.0,26300.0,26300.0,26900.0,28100.0,28900.0,29600.0,30300.0,28400.0,31800,35200,37500
Cyprus,17700,18900,19300,19900,21200,22700,23900.0,26000.0,27000.0,25600.0,25400.0,24900.0,23600.0,22000.0,21600.0,23000.0,24900.0,26400.0,27800.0,29300.0,27700.0,31100,35100,37100
Latvia,6500,7300,8000,8700,9600,10900,11900.0,13600.0,14500.0,12500.0,13100.0,13900.0,15100.0,15800.0,16500.0,17400.0,17900.0,19000.0,20200.0,20900.0,20900.0,23500,25000,26900
Lithuania,7000,7800,8600,9900,10700,11900,13100.0,15100.0,16100.0,13700.0,15000.0,16900.0,18100.0,19200.0,20100.0,20700.0,21400.0,23100.0,24700.0,26400.0,26400.0,29300,31700,33000
Luxembourg,45700,46400,48000,49400,52800,56300,62700.0,67100.0,70500.0,65600.0,68300.0,70300.0,71300.0,72600.0,75200.0,77600.0,78500.0,78900.0,78900.0,78800.0,77900.0,86300,90500,90300
Hungary,9900,10900,11900,12700,13300,14000,14600.0,15100.0,16100.0,15600.0,16400.0,17100.0,17100.0,17800.0,18500.0,19400.0,19600.0,20400.0,21900.0,23200.0,22700.0,24800,27600,29200
Malta,15300,15300,16000,17100,17600,18200,18500.0,19700.0,20700.0,20200.0,21900.0,21900.0,22700.0,23900.0,25200.0,27600.0,28500.0,31400.0,32600.0,33400.0,31900.0,36200,37800,40900
Netherlands,26500,27500,28300,28200,29400,30900,32800.0,34900.0,36300.0,33900.0,34300.0,35000.0,35200.0,35800.0,35700.0,36600.0,36900.0,38500.0,39900.0,40500.0,40000.0,43700,48400,50800
Austria,24300,24500,25400,26300,27400,28500,29700.0,30900.0,31900.0,30700.0,31600.0,32900.0,34100.0,34300.0,34700.0,35700.0,36400.0,37000.0,38400.0,39300.0,37400.0,40200,44300,45700
Poland,8900,9300,9700,10100,11000,11400,12100.0,13300.0,14300.0,14400.0,15900.0,17000.0,17500.0,17600.0,18300.0,19400.0,19700.0,20700.0,21900.0,23300.0,23900.0,26200,28200,29500
Portugal,15700,16200,16700,17100,17500,18600,19600.0,20300.0,20700.0,20000.0,20700.0,19900.0,19500.0,20200.0,20600.0,21200.0,21900.0,22600.0,23500.0,24500.0,22800.0,24500,27800,30700
Romania,4900,5300,5900,6200,7300,7900,9200.0,10800.0,13000.0,12600.0,13100.0,14000.0,14600.0,14200.0,14800.0,15500.0,16600.0,18500.0,20100.0,21900.0,21900.0,24000,26500,29700
Slovenia,14900,15500,16400,17200,18500,19400,20300.0,21700.0,22900.0,20500.0,20900.0,21400.0,21300.0,21400.0,21900.0,22500.0,23300.0,24900.0,26200.0,27500.0,26700.0,29300,32100,35000
Slovakia,9400,10200,10900,11600,12400,13500,15000.0,16700.0,18300.0,17300.0,19100.0,19500.0,20000.0,20300.0,20900.0,21700.0,20700.0,20800.0,21400.0,22100.0,22600.0,24500,25700,28100
Finland,22200,23000,23400,23900,25500,26300,27400.0,29900.0,31100.0,28700.0,29500.0,30400.0,30100.0,29800.0,29800.0,30400.0,31000.0,32400.0,33400.0,34000.0,34000.0,36200,38400,40100
Sweden,24600,24800,25400,26100,27600,28000,29900.0,32200.0,32500.0,30300.0,31800.0,33000.0,33400.0,33300.0,33600.0,35100.0,35000.0,35400.0,36000.0,37100.0,36700.0,40000,41400,43400
Iceland,24700,26400,26700,26900,29100,30600,31600.0,32700.0,33900.0,31600.0,30400.0,31100.0,31600.0,32700.0,33600.0,36100.0,37800.0,38900.0,39600.0,40300.0,36700.0,40600,47600,51300
Norway,30700,31300,31200,31800,34900,39300,43200.0,44400.0,48200.0,42000.0,44100.0,46500.0,48600.0,48600.0,47500.0,43700.0,41200.0,44400.0,47600.0,46100.0,42900.0,56800,76900,65200
Switzerland,30200,31100,31500,31600,32600,33800,36500.0,39900.0,41500.0,39800.0,41100.0,42900.0,43900.0,44500.0,45500.0,46900.0,46800.0,46800.0,47900.0,47900.0,46600.0,51600,57200,58500
United Kingdom,22000,23100,23900,24900,26200,26800,27600.0,28000.0,28500.0,26500.0,27600.0,27700.0,28300.0,28800.0,29600.0,30600.0,30600.0,31600.0,31900.0,32500.0,30700.0,32568,36736,37916
Bosnia and Herzegovina,:,:,:,:,:,5600,6300.0,6900.0,7400.0,7200.0,7400.0,7700.0,7800.0,8000.0,8100.0,8500.0,8900.0,9200.0,9800.0,10200.0,9900.0,11000,12400,13600
Montenegro,:,:,:,:,:,:,8300.0,9800.0,10700.0,9800.0,10300.0,10800.0,10200.0,10700.0,11000.0,11700.0,12600.0,13500.0,14600.0,15700.0,13400.0,15400,17500,19600
North Macedonia,5100,5000,5200,5400,5900,6500,7100.0,7600.0,8500.0,8700.0,9100.0,9300.0,9400.0,9900.0,10400.0,10800.0,11400.0,11800.0,12500.0,13200.0,12800.0,14100,15100,15800
Albania,3200,3600,3800,4100,4400,4800,5200.0,5800.0,6400.0,6700.0,7300.0,7600.0,7800.0,7600.0,8100.0,8400.0,8400.0,8800.0,9200.0,9600.0,9300.0,10300,12200,13700
Serbia,5300,5600,6200,6600,7100,7700,8300.0,9200.0,10200.0,9800.0,10100.0,10700.0,10700.0,11000.0,11000.0,11200.0,11400.0,11900.0,12500.0,13400.0,13400.0,14900,16500,18700
TÃ¼rkiye,7900,7600,7600,7900,8900,9800,10800.0,11700.0,12400.0,11700.0,13100.0,14600.0,15200.0,16100.0,17300.0,18600.0,18500.0,19400.0,19200.0,18500.0,18300.0,20000,24500,27500
